scenario,method,seed,total_cost,service_level,scri_viol,VaR95,TVaR95
S1,"sS(s=10,S=95)",42,4266.612,0.5515708440838037,1.26,1249.6836,1296.258
S1,"sS(s=15,S=100)",42,4241.304,0.5680339072538017,1.2,1248.0264,1294.662
S1,"sS(s=15,S=20)",42,5049.098,0.1936360500265214,1.68,1373.6376,1404.7979999999998
S1,"sS(s=15,S=25)",42,4945.094,0.23580166839580713,1.64,1344.0616,1375.862
S1,"sS(s=15,S=30)",42,4849.548,0.2753563008461896,1.64,1318.2407999999998,1351.0520000000001
S1,"sS(s=15,S=35)",42,4762.05,0.31215191876284076,1.68,1293.7956,1327.078
S1,"sS(s=15,S=40)",42,4682.6759999999995,0.34605883001034726,1.54,1274.436,1309.09
S1,"sS(s=15,S=45)",42,4612.87,0.3764646914741741,1.5,1262.2484,1299.122
S1,"sS(s=15,S=50)",42,4551.23,0.40343861728869207,1.48,1248.624,1284.882
S1,"sS(s=15,S=55)",42,4498.894,0.4270489337483296,1.52,1238.0972,1272.356
S1,"sS(s=15,S=60)",42,4456.482,0.44808696231305384,1.46,1241.3676,1277.412
S1,"sS(s=15,S=65)",42,4412.5,0.4695458599507784,1.42,1238.6052,1275.5839999999998
S1,"sS(s=15,S=70)",42,4368.194,0.49116983422222077,1.32,1234.8796,1272.6760000000002
S1,"sS(s=15,S=75)",42,4337.3640000000005,0.5088574803283267,1.34,1232.9,1273.2160000000001
S1,"sS(s=15,S=80)",42,4316.792,0.5220371353236289,1.4,1234.7256,1273.52
S1,"sS(s=15,S=85)",42,4287.948,0.5385053035979164,1.34,1236.1792,1275.736
S1,"sS(s=15,S=90)",42,4265.246,0.5496578459186402,1.3,1251.0292,1298.484
S1,"sS(s=15,S=95)",42,4248.82,0.5614182378022587,1.22,1250.8388,1296.86
S1,"sS(s=20,S=100)",42,4225.792,0.5789645308659788,1.16,1249.354,1296.516
S1,"sS(s=20,S=25)",42,4945.1140000000005,0.23585792718624315,1.64,1343.9335999999998,1375.7020000000002
S1,"sS(s=20,S=30)",42,4847.428,0.27612069903999165,1.64,1317.5207999999998,1350.5320000000002
S1,"sS(s=20,S=35)",42,4759.048,0.3132840084706762,1.62,1294.4876,1328.2379999999998
S1,"sS(s=20,S=40)",42,4679.418,0.3473469994618693,1.56,1274.2495999999999,1308.93
S1,"sS(s=20,S=45)",42,4605.448,0.3793217626379172,1.48,1257.8172,1293.64
S1,"sS(s=20,S=50)",42,4541.772,0.40753616848209445,1.42,1248.9016000000001,1285.616
S1,"sS(s=20,S=55)",42,4485.99,0.4325216420276867,1.44,1235.9168,1271.254
