scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,0,235,0.15265866209262435,6273.0,0,2236.2,2418.0
S1,qlearning,0,236,0.12476370510396975,6503.7,1,2067.7,2101.0
S1,qlearning,0,237,0.14116874589625739,7046.0,1,2182.7999999999997,2268.0
S1,qlearning,0,238,0.18889308651303363,6147.5,0,1781.5,1798.0
S1,qlearning,0,239,0.15034695451040864,5994.0,1,1719.0,1812.0
S1,qlearning,0,240,0.1652574942352037,6629.5,2,1653.0,1666.5
S1,qlearning,0,241,0.15283842794759825,5653.1,3,1926.6,2088.0
S1,qlearning,0,242,0.16405395552314983,5578.0,0,1756.6,1802.0
S1,qlearning,0,243,0.20270270270270271,5882.5,1,1777.1999999999998,1872.0
S1,qlearning,0,244,0.13811123553564764,6026.1,4,1732.82,1768.0
S1,qlearning,0,245,0.19223923104307583,5891.0,0,1676.8,1696.0
S1,qlearning,0,246,0.13115916341722794,6894.5,9,1961.6,2027.0
S1,qlearning,0,247,0.17882947976878613,5639.0,0,1721.8,1804.0
S1,qlearning,0,248,0.18579838116261957,5563.6,3,1644.3999999999999,1748.5
S1,qlearning,0,249,0.1587566844919786,6813.0,3,2436.7999999999997,2552.0
S1,qlearning,0,250,0.16672841793256762,5963.5,1,1806.1,1886.0
S1,qlearning,0,251,0.16534867002156722,5919.5,2,1542.5,1548.0
S1,qlearning,0,252,0.1865079365079365,5065.0,3,1524.6,1616.0
S1,qlearning,0,253,0.18668206312548113,5468.0,0,1396.6,1400.0
S1,qlearning,0,254,0.14306949089557786,5581.0,0,1838.3999999999999,2025.0
S1,qlearning,0,255,0.14736120630568883,6589.0,2,1740.6,1765.0
S1,qlearning,0,256,0.1942902458366376,5397.0,2,1642.3999999999999,1696.0
S1,qlearning,0,257,0.17710663683818045,5822.0,0,1799.6,1905.0
S1,qlearning,0,258,0.15592871830020563,6237.5,1,1700.6,1706.5
S1,qlearning,0,259,0.1814814814814815,5883.0,0,2116.2,2301.0
S1,qlearning,0,260,0.14632405424696646,5801.0,0,1730.3999999999999,1763.0
S1,qlearning,0,261,0.1643426294820717,6876.333333333333,0,2018.6,2063.0
S1,qlearning,0,262,0.15487504399859203,5881.7,0,1806.8,1931.5
S1,qlearning,0,263,0.12727272727272726,6913.0,0,1970.6,2020.0
S1,qlearning,0,264,0.16527355623100304,5956.5,0,2022.9999999999998,2246.5
S1,qlearning,0,265,0.13918252290345315,6220.7,5,1929.3999999999999,2082.5
S1,qlearning,0,266,0.14556040756914118,5386.0,0,1307.8,1312.0
S1,qlearning,0,267,0.1407954945441746,5960.0,0,1369.6,1380.0
S1,qlearning,0,268,0.12609649122807018,6719.5,5,1761.2,1762.5
S1,qlearning,0,269,0.170196671709531,5977.5,0,1506.4,1529.0
S1,qlearning,0,270,0.11920980926430517,5843.0,0,1451.8,1459.0
S1,qlearning,0,271,0.15049036185322962,6814.5,6,2188.7999999999997,2307.5
S1,qlearning,0,272,0.11908646003262642,7256.0,0,2385.0,2527.0
S1,qlearning,0,273,0.12216404886561955,7387.0,0,2228.0,2296.5
S1,qlearning,0,274,0.163302752293578,5263.0,0,1492.6,1529.0
S1,qlearning,0,275,0.15955473098330242,5295.0,4,1492.8,1556.0
S1,qlearning,0,276,0.1343570057581574,6702.0,1,2002.0,2132.0
S1,qlearning,0,277,0.11789405684754523,6152.5,3,1760.0,1813.5
S1,qlearning,0,278,0.17079121645172535,6647.166666666667,2,1978.9333333333334,1986.1666666666667
S1,qlearning,0,279,0.16933721777130373,6075.0,1,1949.3999999999999,2121.0
S1,qlearning,0,280,0.16883573689764333,6391.6,0,2223.6,2450.0
S1,qlearning,0,281,0.1637835848362164,5618.8,0,1820.8,1936.0
S1,qlearning,0,282,0.12978142076502733,6824.0,0,2404.7999999999997,2496.0
S1,qlearning,0,283,0.1735985533453888,6291.0,0,1777.1999999999998,1872.0
S1,qlearning,0,284,0.16302334197851057,6257.0,2,1868.0,1927.0
S1,qlearning,0,285,0.16579053780832997,4804.0,0,1261.4,1279.0
S1,qlearning,0,286,0.13105507631055077,6226.0,0,1740.8,1786.0
S1,qlearning,0,287,0.1417910447761194,5642.0,0,1589.0,1614.0
S1,qlearning,0,288,0.11286277319957004,7105.5,3,1751.0,1790.0
S1,qlearning,0,289,0.16340970350404313,6356.2,1,1796.8,1811.0
S1,qlearning,0,290,0.12398042414355628,7019.0,2,2147.7999999999997,2228.0
S1,qlearning,0,291,0.13027082619129243,6379.0,0,2164.7999999999997,2286.0
S1,qlearning,0,292,0.1292212267401792,6736.5,5,1936.0,2012.0
S1,qlearning,0,293,0.15852293920179036,5973.0,0,1928.2,1968.0
S1,qlearning,0,294,0.14487632508833923,6337.0,0,2070.7999999999997,2201.0
S1,qlearning,0,295,0.1731230716489544,6286.0,0,1406.4,1428.0
S1,qlearning,0,296,0.16097750193948798,5542.4,1,1689.72,1811.4
S1,qlearning,0,297,0.16290262865605332,6111.8,3,1744.6,1765.0
S1,qlearning,0,298,0.18510546706844597,5260.5,0,1341.4,1347.0
S1,qlearning,0,299,0.19140625,5422.666666666667,0,1433.1333333333334,1442.0
S1,qlearning,0,300,0.15438988095238096,5613.0,0,1676.2,1736.0
S1,qlearning,0,301,0.16083061889250813,5135.0,3,1455.0,1494.0
S1,qlearning,0,302,0.1780049347902714,6548.0,1,2383.6,2653.0
S1,qlearning,0,303,0.18495934959349594,5467.5,1,1482.2,1493.0
S1,qlearning,0,304,0.189268651231165,5839.0,0,1943.1999999999998,2096.0
S1,qlearning,0,305,0.13703443429374562,5572.0,0,1597.2,1609.0
S1,qlearning,0,306,0.1126573889993373,7136.0,0,2368.7999999999997,2534.0
S1,qlearning,0,307,0.15675675675675677,6023.0,0,1828.8,1843.0
S1,qlearning,0,308,0.1278772378516624,6732.5,0,1891.2,1916.5
S1,qlearning,0,309,0.11186440677966102,6630.5,0,1815.5,1830.0
S1,qlearning,0,310,0.13665594855305466,6688.0,4,1795.8,1840.0
S1,qlearning,0,311,0.14799154334038056,5855.0,3,1604.3999999999999,1662.0
S1,qlearning,0,312,0.13642806520198442,6178.0,8,2164.7999999999997,2372.0
S1,qlearning,0,313,0.12423478574000721,6076.0,4,1574.6,1594.0
S1,qlearning,0,314,0.1504957507082153,6355.3,0,1570.8,1616.0
S1,qlearning,0,315,0.13585984983911334,5985.0,5,1818.0,1868.0
S1,qlearning,0,316,0.11948529411764706,5668.0,1,1742.8,1787.0
S1,qlearning,0,317,0.13024357239512854,6105.0,1,1627.4,1642.0
