service_level,total_cost,scri_viol,VaR95,TVaR95,scenario,method,seed,episode,c_h,c_b,c_o,c_disruption,lambda_scri,scri_threshold,scri_mode,s,S
0.19264448336252188,5157.0,0,1278.0,1290.0,S1,"sS(s=0,S=20)",42,44,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.20113851992409867,4757.0,0,1222.8,1244.0,S1,"sS(s=0,S=20)",42,45,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1756129887342611,5523.0,0,1632.8,1726.0,S1,"sS(s=0,S=20)",42,46,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.17326732673267325,5258.0,1,1432.6,1452.0,S1,"sS(s=0,S=20)",42,47,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.20784313725490197,4548.9,0,1126.6399999999999,1137.8,S1,"sS(s=0,S=20)",42,48,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19078473722102232,5248.0,9,1374.6,1379.0,S1,"sS(s=0,S=20)",42,49,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.23719165085388993,4767.3,4,1181.86,1187.0,S1,"sS(s=0,S=25)",42,0,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,25.0
0.23662176920276665,4851.7,0,1255.8,1263.0,S1,"sS(s=0,S=25)",42,1,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,25.0
0.22608695652173913,5177.0,2,1479.0,1540.0,S1,"sS(s=0,S=25)",42,2,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,25.0
0.23139577934098482,4834.0,0,1320.6,1353.0,S1,"sS(s=0,S=25)",42,3,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,25.0
0.24961597542242703,4615.3,2,1299.8,1333.0,S1,"sS(s=0,S=25)",42,4,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,25.0
